Elo,NA,D32,WD32
1.00,50.00,75.00,68.75
2.00,56.25,37.50,56.25
3.00,53.33,53.33,53.33
4.00,57.14,57.14,64.29
5.00,46.67,66.67,60.00
6.00,53.33,53.33,53.33
7.00,76.92,76.92,76.92
8.00,53.85,53.85,53.85
9.00,35.71,35.71,35.71
10.00,53.33,46.67,53.33
11.00,35.71,35.71,35.71
12.00,68.75,75.00,68.75
13.00,68.75,50.00,68.75
14.00,56.25,75.00,56.25
15.00,68.75,56.25,68.75
16.00,75.00,68.75,75.00
