Massey,NA,D01,D10,WD01,WD10
1.00,0.00,56.25,56.25,56.25,50.00
2.00,0.00,75.00,75.00,56.25,75.00
3.00,46.15,46.15,38.46,61.54,46.15
4.00,60.00,60.00,60.00,60.00,60.00
5.00,73.33,73.33,73.33,66.67,60.00
6.00,73.33,66.66,66.66,73.33,66.67
7.00,66.67,66.67,66.67,66.67,66.67
8.00,61.54,61.54,61.54,61.54,61.54
9.00,76.92,69.23,69.23,76.92,69.23
10.00,64.29,78.57,57.14,64.29,50.00
11.00,80.00,86.67,86.67,80.00,80.00
12.00,68.75,68.75,62.50,68.75,75.00
13.00,68.75,75.00,75.00,68.75,75.00
14.00,87.50,87.50,87.50,87.50,87.50
15.00,43.75,43.75,43.75,43.75,37.50
16.00,75.00,68.75,75.00,75.00,75.00
