Colley ,NA,D01,D10,WD01,WD10
1.00,62.50,50.00,56.25,50.00,42.75
2.00,50.00,81.25,75.00,62.50,75.00
3.00,53.33,60.00,60.00,53.33,53.33
4.00,78.57,64.29,64.29,78.57,85.71
5.00,71.43,78.57,64.29,71.43,64.29
6.00,78.57,42.86,50.00,71.43,71.43
7.00,64.29,57.14,57.14,64.29,64.29
8.00,69.23,53.85,46.15,69.23,69.24
9.00,50.00,35.71,35.71,50.00,35.71
10.00,42.86,92.86,92.86,42.86,50.00
11.00,62.50,68.75,62.50,62.50,62.50
12.00,43.75,68.75,56.25,43.75,56.25
13.00,43.75,62.50,56.25,43.75,43.75
14.00,68.75,68.75,68.75,75.00,75.00
15.00,68.75,50.00,50.00,68.75,68.75
16.00,56.25,75.00,75.00,56.25,56.25
