Colley ,NA,D01,D10,WD01,WD10
1.00,50.00,50.00,43.75,31.25,31.25
2.00,62.50,50.00,56.25,68.75,56.25
3.00,73.33,73.33,73.33,66.67,66.67
4.00,64.29,50.00,50.00,64.29,64.29
5.00,21.43,57.14,57.14,35.71,21.43
6.00,53.85,69.23,69.23,53.85,61.54
7.00,78.57,64.29,64.29,71.43,64.29
8.00,57.14,78.57,78.57,57.14,57.14
9.00,64.29,50.00,42.86,71.43,50.00
10.00,71.43,85.71,85.71,71.43,71.43
11.00,56.25,56.25,56.25,56.25,56.25
12.00,68.75,43.75,50.00,68.75,68.75
13.00,56.25,50.00,56.25,56.25,62.50
14.00,68.75,43.75,43.75,75.00,75.00
15.00,75.00,43.75,43.75,68.75,68.75
16.00,62.50,56.25,56.25,62.50,62.50
