Massey,NA,D01,D10,WD01,WD10
1.00,0.00,68.75,75.00,81.25,81.25
2.00,56.25,37.50,50.00,56.25,56.25
3.00,66.67,66.67,66.67,60.00,53.33
4.00,42.86,64.29,64.29,42.86,64.29
5.00,60.00,73.33,73.33,60.00,66.67
6.00,53.33,60.00,60.00,53.33,53.33
7.00,84.62,69.23,69.23,84.62,76.92
8.00,52.85,53.85,53.85,53.85,61.54
9.00,50.00,35.71,42.86,50.00,35.71
10.00,73.33,66.67,66.67,73.33,60.00
11.00,42.86,50.00,50.00,42.86,42.86
12.00,68.75,75.00,75.00,68.75,75.00
13.00,62.50,62.50,62.50,62.50,62.50
14.00,56.25,68.75,68.75,56.25,56.25
15.00,56.25,56.25,56.25,56.25,62.50
16.00,81.25,81.25,81.25,81.25,81.25
