Colley ,NA,D01,D10,WD01,WD10
1.00,62.50,56.25,56.25,43.75,56.25
2.00,43.75,62.50,62.50,56.25,75.00
3.00,66.66,73.33,73.33,66.66,53.33
4.00,50.00,57.14,57.14,57.14,57.14
5.00,33.33,60.00,60.00,46.67,46.67
6.00,46.67,66.66,60.00,46.67,46.67
7.00,61.54,53.85,53.85,61.54,61.54
8.00,61.54,61.54,61.54,61.54,61.54
9.00,64.29,42.86,35.71,64.29,57.14
10.00,78.57,64.29,64.29,78.57,78.57
11.00,68.75,50.00,43.75,68.75,68.75
12.00,66.66,86.67,93.33,66.66,66.66
13.00,68.75,62.50,62.50,68.75,68.75
14.00,81.25,75.00,75.00,81.25,75.00
15.00,62.50,50.00,50.00,62.50,62.50
16.00,68.75,81.25,75.00,68.75,68.75
