Elo,NA,D32,WD32
1.00,31.25,62.50,25.00
2.00,56.25,75.00,56.25
3.00,53.85,46.15,53.85
4.00,53.33,80.00,53.33
5.00,86.67,80.00,86.67
6.00,60.00,53.33,60.00
7.00,60.00,66.67,66.67
8.00,69.23,53.85,69.23
9.00,76.92,76.92,76.92
10.00,57.14,64.29,50.00
11.00,86.67,80.00,86.67
12.00,56.25,68.75,56.25
13.00,68.75,68.75,68.75
14.00,93.75,87.50,93.75
15.00,43.75,31.25,43.75
16.00,68.75,62.50,68.75
