Colley ,NA,D01,D10,WD01,WD10
1.00,68.75,75.00,81.25,68.25,68.25
2.00,50.00,43.75,43.75,50.00,50.00
3.00,56.25,56.25,50.00,56.25,62.50
4.00,64.29,50.00,57.14,64.29,64.29
5.00,28.57,50.00,57.14,35.71,28.57
6.00,80.00,53.33,53.33,80.00,80.00
7.00,84.62,76.82,76.92,84.62,84.62
8.00,46.15,23.08,23.08,46.15,46.15
9.00,78.57,78.57,78.57,78.57,85.71
10.00,57.14,57.14,57.14,57.14,57.14
11.00,75.00,68.75,68.75,75.00,75.00
12.00,68.75,50.00,50.00,68.75,62.50
13.00,43.75,43.75,37.50,43.75,50.00
14.00,81.25,62.50,62.50,87.50,87.50
15.00,87.50,50.00,56.25,87.50,87.50
16.00,43.75,62.50,62.50,43.75,43.75
