Colley ,NA,D01,D10,WD01,WD10
1.00,56.25,68.75,75.00,62.50,62.50
2.00,81.25,43.75,37.50,68.75,62.50
3.00,46.67,46.67,46.67,53.33,66.67
4.00,50.00,57.14,50.00,50.00,57.14
5.00,60.00,66.67,66.67,60.00,60.00
6.00,53.33,53.33,53.33,53.33,46.67
7.00,84.42,76.92,76.92,84.62,92.31
8.00,53.85,38.46,38.46,53.85,53.85
9.00,35.71,42.86,35.71,35.71,35.71
10.00,60.00,46.67,46.67,60.00,40.00
11.00,35.71,42.86,35.71,35.71,35.71
12.00,75.00,68.75,68.75,75.00,75.00
13.00,68.75,50.00,50.00,68.75,75.00
14.00,56.25,68.75,75.00,56.25,50.00
15.00,56.25,56.25,56.25,62.50,62.50
16.00,75.00,68.75,68.75,75.00,75.00
