Massey,NA,D01,D10,WD01,WD10
1.00,0.00,68.75,62.50,56.25,50.00
2.00,62.50,56.25,62.50,50.00,50.00
3.00,62.50,81.25,81.25,62.50,68.75
4.00,52.85,53.85,46.15,53.85,61.54
5.00,69.23,76.92,76.92,69.23,69.23
6.00,61.54,61.54,61.54,61.54,61.54
7.00,61.54,61.54,69.23,61.54,61.54
8.00,71.43,71.43,71.43,71.43,64.29
9.00,43.75,68.75,56.25,43.75,43.75
10.00,78.57,78.57,78.57,78.57,78.57
11.00,75.00,81.25,81.25,75.00,75.00
12.00,75.00,75.00,75.00,75.00,75.00
13.00,75.00,75.00,81.25,75.00,68.75
14.00,56.25,50.00,50.00,56.25,56.25
15.00,68.75,75.00,75.00,68.75,75.00
16.00,68.75,68.75,68.75,68.75,68.75
