Elo,NA,D32,WD32
1.00,68.75,81.25,81.25
2.00,43.75,43.75,50.00
3.00,50.00,50.00,56.25
4.00,50.00,64.29,64.29
5.00,21.43,57.14,28.57
6.00,73.33,53.33,73.33
7.00,84.62,79.92,84.62
8.00,53.85,23.08,53.85
9.00,78.57,78.57,78.57
10.00,57.14,57.14,57.14
11.00,75.00,68.75,75.00
12.00,75.00,50.00,75.00
13.00,43.75,37.50,43.75
14.00,75.00,68.75,75.00
15.00,81.25,62.50,81.25
16.00,43.75,56.25,43.75
