Colley ,NA,D01,D10,WD01,WD10
1.00,37.50,68.75,62.50,37.50,43.75
2.00,62.50,81.25,81.25,56.25,62.50
3.00,46.15,53.85,46.15,46.15,53.85
4.00,73.33,73.33,80.00,60.00,53.33
5.00,73.33,80.00,80.00,73.33,73.33
6.00,53.33,66.67,53.33,60.00,66.67
7.00,73.33,46.67,60.00,73.33,73.33
8.00,53.85,61.54,53.85,53.85,53.85
9.00,84.62,84.62,76.92,84.62,84.62
10.00,50.00,64.29,64.29,42.86,42.86
11.00,86.67,60.00,80.00,86.67,86.67
12.00,68.75,68.75,62.50,75.00,68.75
13.00,68.75,68.75,68.75,75.00,81.25
14.00,81.25,81.25,81.25,81.25,87.50
15.00,37.50,31.25,31.25,37.50,37.50
16.00,68.75,68.75,68.75,68.75,68.75
