Colley ,NA,D01,D10,WD01,WD10
1.00,43.75,56.25,62.50,31.25,31.25
2.00,62.50,62.50,62.50,62.50,50.00
3.00,68.75,68.75,56.25,68.75,75.00
4.00,69.23,38.46,38.46,61.54,61.54
5.00,69.23,76.92,76.92,69.23,69.23
6.00,38.46,61.54,61.54,38.46,38.46
7.00,61.54,53.85,53.85,61.54,61.54
8.00,50.00,50.00,50.00,50.00,50.00
9.00,50.00,56.25,56.25,50.00,43.75
10.00,71.43,71.43,64.29,71.43,71.43
11.00,75.00,56.25,56.25,75.00,75.00
12.00,75.00,50.00,56.25,68.75,68.75
13.00,75.00,81.25,81.25,75.00,81.25
14.00,43.75,50.00,50.00,43.75,43.75
15.00,68.75,56.25,56.25,68.75,68.75
16.00,68.75,68.75,68.75,68.75,68.75
