Massey,NA,D01,D10,WD01,WD10
1.00,0.00,62.50,62.50,62.50,56.25
2.00,43.75,62.50,62.50,37.50,50.00
3.00,33.33,46.67,46.67,33.33,33.33
4.00,57.14,57.14,64.29,50.00,57.14
5.00,46.67,53.33,53.33,46.67,40.00
6.00,46.67,60.00,60.00,46.67,60.00
7.00,53.85,61.54,53.85,53.85,53.85
8.00,53.85,61.54,61.54,53.85,53.85
9.00,64.28,50.00,50.00,64.29,71.43
10.00,64.29,78.57,78.57,64.29,64.29
11.00,75.00,68.75,68.75,75.00,75.00
12.00,66.66,73.33,73.33,66.66,66.66
13.00,43.75,50.00,50.00,43.75,43.75
14.00,75.00,75.00,75.00,75.00,75.00
15.00,56.25,50.00,50.00,56.25,56.25
16.00,68.75,56.25,62.50,68.75,68.75
