Elo,NA,D32,WD32
1.00,56.25,56.25,43.75
2.00,56.25,68.75,56.25
3.00,53.33,66.66,53.33
4.00,57.14,57.14,57.14
5.00,53.33,60.00,53.33
6.00,46.67,60.00,46.66
7.00,53.85,53.85,53.85
8.00,61.54,61.54,61.54
9.00,71.43,42.86,71.43
10.00,78.57,64.29,78.57
11.00,75.00,50.00,75.00
12.00,66.66,93.33,66.66
13.00,62.50,68.75,62.50
14.00,68.75,75.00,68.75
15.00,62.50,56.25,62.50
16.00,62.50,75.00,68.75
