Massey,NA,D01,D10,WD01,WD10
1.00,0.00,75.00,81.25,68.75,56.25
2.00,62.50,50.00,43.75,50.00,50.00
3.00,62.50,62.50,62.50,62.50,68.75
4.00,64.29,50.00,50.00,64.29,64.29
5.00,50.00,35.71,35.71,42.86,42.86
6.00,73.33,66.66,66.66,73.33,80.00
7.00,84.62,84.62,84.62,84.62,84.62
8.00,46.15,46.15,46.15,46.15,53.85
9.00,78.57,85.71,85.71,71.43,71.43
10.00,71.43,64.29,71.43,71.40,78.57
11.00,81.25,75.00,81.25,81.25,81.25
12.00,56.25,56.25,68.75,56.25,62.50
13.00,50.00,50.00,56.25,50.00,50.00
14.00,87.50,93.75,93.75,87.50,87.50
15.00,87.50,87.50,87.50,87.50,87.50
16.00,43.75,50.00,50.00,43.75,43.75
