Massey,NA,D01,D10,WD01,WD10
1.00,0.00,43.75,25.00,31.25,37.50
2.00,62.50,62.50,50.00,43.75,37.50
3.00,66.67,73.33,80.00,66.67,73.33
4.00,71.43,64.29,71.43,71.43,64.29
5.00,35.71,35.71,35.71,35.71,28.57
6.00,69.23,69.23,69.23,69.23,69.23
7.00,71.43,71.43,71.43,64.29,64.29
8.00,71.43,71.43,71.43,71.43,78.57
9.00,57.14,63.29,50.00,57.14,57.14
10.00,78.57,71.43,85.71,78.57,85.71
11.00,56.25,56.25,56.25,56.25,56.25
12.00,56.25,56.25,56.25,56.25,56.25
13.00,62.50,62.50,62.50,62.50,62.50
14.00,56.25,43.75,43.75,56.25,56.25
15.00,75.00,75.00,75.00,75.00,75.00
16.00,62.50,62.50,62.50,62.50,62.50
