Elo,NA,D32,WD32
1.00,50.00,43.75,31.25
2.00,62.50,56.25,50.00
3.00,66.67,73.33,53.33
4.00,57.14,57.14,64.29
5.00,21.43,50.00,21.43
6.00,38.46,76.92,53.85
7.00,78.57,64.29,71.43
8.00,57.14,78.57,57.14
9.00,71.43,57.14,71.43
10.00,78.57,92.86,78.57
11.00,56.25,56.25,56.25
12.00,68.75,50.00,68.75
13.00,56.25,56.25,56.25
14.00,68.75,37.50,68.75
15.00,75.00,43.75,75.00
16.00,62.50,56.25,62.50
