Massey,NA,D01,D10,WD01,WD10
1.00,0.00,56.25,56.25,31.25,25.00
2.00,0.00,81.25,62.50,62.50,56.25
3.00,53.33,60.00,60.00,53.33,60.00
4.00,78.57,78.57,78.57,78.57,78.57
5.00,50.00,57.14,64.29,50.00,50.00
6.00,71.43,57.14,57.14,71.43,71.43
7.00,64.28,71.43,71.42,64.28,71.43
8.00,53.85,53.85,61.54,53.85,53.85
9.00,35.71,42.86,35.71,28.57,35.71
10.00,57.14,78.57,64.29,57.14,57.14
11.00,56.25,75.00,68.75,62.50,62.50
12.00,62.50,68.75,68.75,62.50,62.50
13.00,50.00,50.00,56.25,50.00,50.00
14.00,87.50,93.75,87.50,87.50,87.50
15.00,62.50,50.00,50.00,62.50,56.25
16.00,56.25,56.25,56.25,56.25,56.25
