Elo,NA,D32,WD32
1.00,50.00,50.00,43.75
2.00,31.25,50.00,31.25
3.00,66.66,73.33,60.00
4.00,53.33,53.33,53.33
5.00,46.66,73.33,46.66
6.00,78.57,64.29,78.57
7.00,92.86,85.71,92.86
8.00,76.92,84.62,76.92
9.00,50.00,50.00,50.00
10.00,30.77,53.85,30.77
11.00,73.33,60.00,73.33
12.00,62.50,68.75,62.50
13.00,50.00,31.25,50.00
14.00,50.00,37.50,50.00
15.00,62.50,75.00,62.50
16.00,81.25,68.75,81.25
