Elo,NA,D32,WD32
1.00,60.00,73.33,66.67
2.00,62.50,62.50,62.50
3.00,35.71,64.29,35.71
4.00,57.14,42.86,57.14
5.00,35.71,64.29,28.57
6.00,71.43,35.71,71.43
7.00,53.85,38.46,53.85
8.00,53.85,76.92,53.85
9.00,57.14,57.14,57.14
10.00,87.50,56.25,87.50
11.00,56.25,62.50,56.25
12.00,75.00,50.00,75.00
13.00,62.50,56.25,62.50
14.00,43.75,56.25,43.75
15.00,43.75,50.00,43.75
16.00,56.25,81.25,56.25
