player1,player2
26,22
26,21
26,18
26,27
26,23
26,15
26,13
26,16
26,31
26,12
26,2
26,28
26,9
26,29
26,5
26,10
26,17
26,14
26,32
26,24
26,11
26,19
26,3
26,8
26,7
26,20
26,6
26,1
26,4
26,25
26,30
22,21
22,18
22,27
22,23
22,15
22,13
22,16
22,31
22,12
22,2
22,28
22,9
22,29
22,5
22,10
22,17
22,14
22,32
22,24
22,11
22,19
22,3
22,8
22,7
22,20
22,6
22,1
22,4
22,25
22,30
21,18
21,27
21,23
21,15
21,13
21,16
21,31
21,12
21,2
21,28
21,9
21,29
21,5
21,10
21,17
21,14
21,32
21,24
21,11
21,19
21,3
21,8
21,7
21,20
21,6
21,1
21,4
21,25
21,30
18,27
18,23
18,15
18,13
18,16
18,31
18,12
18,2
18,28
18,9
18,29
18,5
18,10
18,17
18,14
18,32
18,24
18,11
18,19
18,3
18,8
18,7
18,20
18,6
18,1
18,4
18,25
18,30
27,23
27,15
27,13
27,16
27,31
27,12
27,2
27,28
27,9
27,29
27,5
27,10
27,17
27,14
27,32
27,24
27,11
27,19
27,3
27,8
27,7
27,20
27,6
27,1
27,4
27,25
27,30
23,15
23,13
23,16
23,31
23,12
23,2
23,28
23,9
23,29
23,5
23,10
23,17
23,14
23,32
23,24
23,11
23,19
23,3
23,8
23,7
23,20
23,6
23,1
23,4
23,25
23,30
15,13
15,16
15,31
15,12
15,2
15,28
15,9
15,29
15,5
15,10
15,17
15,14
15,32
15,24
15,11
15,19
15,3
15,8
15,7
15,20
15,6
15,1
15,4
15,25
15,30
13,16
13,31
13,12
13,2
13,28
13,9
13,29
13,5
13,10
13,17
13,14
13,32
13,24
13,11
13,19
13,3
13,8
13,7
13,20
13,6
13,1
13,4
13,25
13,30
16,31
16,12
16,2
16,28
16,9
16,29
16,5
16,10
16,17
16,14
16,32
16,24
16,11
16,19
16,3
16,8
16,7
16,20
16,6
16,1
16,4
16,25
16,30
31,12
31,2
31,28
31,9
31,29
31,5
31,10
31,17
31,14
31,32
31,24
31,11
31,19
31,3
31,8
31,7
31,20
31,6
31,1
31,4
31,25
31,30
12,2
12,28
12,9
12,29
12,5
12,10
12,17
12,14
12,32
12,24
12,11
12,19
12,3
12,8
12,7
12,20
12,6
12,1
12,4
12,25
12,30
2,28
2,9
2,29
2,5
2,10
2,17
2,14
2,32
2,24
2,11
2,19
2,3
2,8
2,7
2,20
2,6
2,1
2,4
2,25
2,30
28,9
28,29
28,5
28,10
28,17
28,14
28,32
28,24
28,11
28,19
28,3
28,8
28,7
28,20
28,6
28,1
28,4
28,25
28,30
9,29
9,5
9,10
9,17
9,14
9,32
9,24
9,11
9,19
9,3
9,8
9,7
9,20
9,6
9,1
9,4
9,25
9,30
29,5
29,10
29,17
29,14
29,32
29,24
29,11
29,19
29,3
29,8
29,7
29,20
29,6
29,1
29,4
29,25
29,30
5,10
5,17
5,14
5,32
5,24
5,11
5,19
5,3
5,8
5,7
5,20
5,6
5,1
5,4
5,25
5,30
10,17
10,14
10,32
10,24
10,11
10,19
10,3
10,8
10,7
10,20
10,6
10,1
10,4
10,25
10,30
17,14
17,32
17,24
17,11
17,19
17,3
17,8
17,7
17,20
17,6
17,1
17,4
17,25
17,30
14,32
14,24
14,11
14,19
14,3
14,8
14,7
14,20
14,6
14,1
14,4
14,25
14,30
32,24
32,11
32,19
32,3
32,8
32,7
32,20
32,6
32,1
32,4
32,25
32,30
24,11
24,19
24,3
24,8
24,7
24,20
24,6
24,1
24,4
24,25
24,30
11,19
11,3
11,8
11,7
11,20
11,6
11,1
11,4
11,25
11,30
19,3
19,8
19,7
19,20
19,6
19,1
19,4
19,25
19,30
3,8
3,7
3,20
3,6
3,1
3,4
3,25
3,30
8,7
8,20
8,6
8,1
8,4
8,25
8,30
7,20
7,6
7,1
7,4
7,25
7,30
20,6
20,1
20,4
20,25
20,30
6,1
6,4
6,25
6,30
1,4
1,25
1,30
4,25
4,30
25,30
